product_name,price,link,weight/price
Royal Canin Boxer Adulto, 17.49 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-boxer-adulto.html,3 Kg./17.49 €/u && 12 Kg/55.99 €/u && Pack 2 x 12 Kg/109.98 €/u && 
Royal Canin Cocker Adulto, 18.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-cocker-adulto.html,3 Kg./18.99 €/u && 12 Kg/55.99 €/u && Pack 2 x 12 Kg/109.98 €/u && 
Royal Canin Boxer Junior, 19.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-boxer-junior.html,3 Kg./19.99 €/u && 12 Kg/62.99 €/u && Pack 2 x 12 Kg/123.98 €/u && 
Royal Canin Dalmata Adulto, 55.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-dalmata-adulto.html,12 Kg/55.99 €/u && Pack 2 x 12 Kg/109.98 €/u && 
Royal Canin Pastor Aleman Cachorro, 19.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-pastor-aleman-cachorro.html,3 Kg./19.99 €/u && 12 Kg/62.99 €/u && Pack 2 x 12 Kg/123.98 €/u && 
Royal Canin Golden Retriever Adulto, 18.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-golden-retriever-adulto.html,3 Kg./18.99 €/u && 12 +2 Kg ¡Gratis!/61.99 €/u && 12 Kg/56.99 €/u && Pack 2 x 12 + 2 Kg ¡Gratis!/121.98 €/u && Pack 2 x 12 Kg/111.98 €/u && 
Royal Canin Labrador Retriever Cachorro, 19.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-labrador-retriever-cachorro.html,3 Kg./19.99 €/u && 12 +2 Kg ¡Gratis!/62.99 €/u && 12 Kg/62.99 €/u && Pack 2 x 12 + 2 Kg ¡Gratis!/123.98 €/u && Pack 2 x 12 Kg/123.98 €/u && 
Royal Canin Rottweiler Cachorro, 60.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-rottweiler-cachorro.html,12 Kg/60.99 €/u && Pack 2 x 12 Kg/119.98 €/u && 
Royal Canin Rottweiler Adulto, 54.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-rottweiler-adulto.html,12 Kg/54.99 €/u && Pack 2 x 12 Kg/107.98 €/u && 
Royal Canin Dalmata Cachorro, 62.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-dalmata-cachorro.html,12 Kg/62.99 €/u && Pack 2 x 12 Kg/123.98 €/u && 
Royal Canin Pastor Alemán Adulto, 18.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-pastor-aleman-adulto.html,3 Kg./18.99 €/u && 11 Kg/51.99 €/u && Pack 2 x 11 Kg/101.98 €/u && 
Royal Canin Golden Retriever Cachorro, 19.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-golden-retriever-cachorro.html,3 Kg./19.99 €/u && 12 +2 Kg ¡Gratis!/62.99 €/u && 12 Kg/62.99 €/u && Pack 2 x 12 + 2 Kg ¡Gratis!/123.98 €/u && Pack 2 x 12 Kg/123.98 €/u && 
Royal Canin Yorkshire Terrier Cachorro, 4.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-yorkshire-terrier-cachorro.html,"500 Gr./4.99 €/u && 1,5 Kg./13.99 €/u && Pack 2 x 1.5 Kg/25.98 €/u && "
Royal Canin Labrador Retriever Adulto, 18.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-labrador-retriever-adulto.html,3 Kg./18.99 €/u && 12 +2 Kg ¡Gratis!/60.99 €/u && 12 Kg/56.99 €/u && Pack 2 x 12 + 2 Kg ¡Gratis!/117.98 €/u && Pack 2 x 12 Kg/111.98 €/u && 
Royal Canin Setter Adulto, 56.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-setter-adulto.html,12 Kg/56.99 €/u && Pack 2 x 12 Kg/111.98 €/u && 
Royal Canin Gran Danés Adulto, 54.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-gran-danes-adulto.html,12 Kg/54.99 €/u && Pack 2 x 12 Kg/107.98 €/u && 
Royal Canin Yorkshire Terrier Adulto, 12.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-yorkshire-terrier-adulto.html,"1,5 Kg./12.99 €/u && 3 Kg./21.99 €/u && 7,5 Kg/46.99 €/u && Pack 2 x 7.5 Kg/91.98 €/u && "
Royal Canin Schnauzer Miniatura Adulto, 19.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-schnauzer-miniatura-adulto.html,"3 Kg./19.99 €/u && 7,5 Kg/43.99 €/u && Pack 2 x 7.5 Kg/85.98 €/u && "
Royal Canin Teckel Adulto, 11.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-teckel-adulto.html,"1,5 Kg./11.99 €/u && 7,5 Kg/42.99 €/u && Pack 2 x 7.5 Kg/83.98 €/u && "
Royal Canin Shih Tzu Adulto, 12.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-shih-tzu-adulto.html,"1,5 Kg./12.99 €/u && Pack 2 x 1.5 Kg/23.98 €/u && "
